date,temperature,humidity,luminosity
2020-12-03 15:58:16.033,16.5,17.1,117
2020-12-03 15:58:13.760,16.5,17.1,116
2020-12-03 15:58:11.483,16.5,17.1,117
2020-12-03 15:58:09.205,16.5,17.1,116
2020-12-03 15:58:06.928,16.5,17.1,117
2020-12-03 15:58:04.655,16.5,17.1,117
2020-12-03 15:58:02.378,16.5,17.1,112
2020-12-03 15:58:00.100,16.5,17.1,115
2020-12-03 15:57:57.823,16.5,17.1,116
2020-12-03 15:57:55.546,16.5,17.1,115
2020-12-03 15:57:53.272,16.5,17.1,116
2020-12-03 15:57:50.995,16.5,17.1,118
2020-12-03 15:57:48.718,16.5,17.1,116
2020-12-03 15:57:46.441,16.5,17.1,115
2020-12-03 15:57:44.168,16.5,17.1,116
2020-12-03 15:57:41.891,16.5,17.1,119
2020-12-03 15:57:39.613,16.5,17.1,115
2020-12-03 15:57:37.336,16.5,17.1,113
2020-12-03 15:57:35.063,16.5,17.1,118
2020-12-03 15:57:32.785,16.5,17.1,113
2020-12-03 15:57:30.508,16.5,17.2,110
2020-12-03 15:57:28.231,16.5,17.2,116
2020-12-03 15:57:25.958,16.5,17.1,115
2020-12-03 15:57:23.680,16.5,17.2,116
2020-12-03 15:57:21.403,16.5,17.2,116
2020-12-03 15:57:19.126,16.5,17.2,112
2020-12-03 15:57:16.848,16.5,17.2,117
2020-12-03 15:57:14.575,16.5,17.2,117
2020-12-03 15:57:12.298,16.5,17.2,117
2020-12-03 15:57:10.021,16.5,17.2,117
2020-12-03 15:57:07.743,16.5,17.2,117
2020-12-03 15:57:05.470,16.5,17.2,116
2020-12-03 15:57:03.193,16.5,17.2,118
2020-12-03 15:57:00.915,16.5,17.2,116
2020-12-03 15:56:58.638,16.5,17.2,115
